Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories
Apple,Fruit,13.8,0.3,0.2,2.4,52.0
Banana,Fruit,22.8,1.1,0.3,2.6,89.0
Orange,Fruit,11.8,0.9,0.1,2.4,47.0
Broccoli,Vegetable,6.6,2.8,0.4,2.6,34.0
Spinach,Vegetable,3.6,2.9,0.4,2.2,23.0
Chicken Breast,Meat,0.0,31.0,3.6,0.0,165.0
Salmon,Fish,0.0,20.0,13.0,0.0,208.0
Brown Rice,Grain,23.0,2.6,0.9,1.8,111.0
White Bread,Grain,49.0,9.0,3.2,2.7,265.0
Whole Milk,Dairy,4.8,3.2,3.3,0.0,61.0
Egg (Large),Dairy,0.6,12.6,9.5,0.0,143.0
Cheddar Cheese,Dairy,1.3,25.0,33.0,0.0,403.0
Potato Chips,Snack,53.0,7.0,35.0,4.0,536.0
Oatmeal,Grain,12.0,3.0,1.5,1.7,68.0
Almonds,Snack,22.0,21.0,49.0,12.0,579.0
Greek Yogurt,Dairy,3.6,10.0,0.4,0.0,59.0
Avocado,Fruit,8.5,2.0,14.7,6.7,160.0
Pizza Margherita,Fast Food,30.0,11.0,10.0,2.2,250.0
Beef Burger,Fast Food,24.0,14.0,12.0,1.5,260.0
French Fries,Fast Food,41.0,3.4,15.0,3.8,312.0
Chocolate Bar,Snack,59.0,4.9,30.0,3.4,535.0
Coca Cola,Beverage,10.6,0.0,0.0,0.0,42.0
Orange Juice,Beverage,10.4,0.7,0.2,0.2,45.0
Butter,Dairy,0.1,0.9,81.0,0.0,717.0
Olive Oil,Fat,0.0,0.0,100.0,0.0,884.0
Peanut Butter,Snack,20.0,25.0,50.0,6.0,588.0
Tofu,Vegetable,1.9,8.0,4.8,0.3,76.0
White Rice,Grain,28.0,2.7,0.3,0.4,130.0
Spaghetti,Grain,31.0,6.0,0.6,1.8,158.0
Tomato,Vegetable,3.9,0.9,0.2,1.2,18.0
Herta Pâte À Pizza Fine Et Rectangulaire 390G,Pizza,49.0,8.7,5.3,1.0,287.5
Herta Pâte À Pizza Fine Et Ronde 265G,Pizza,49.0,8.7,5.3,1.0,287.5
Spicy Chicken & 'Nduja Pizza,Pizza,64.2,5.7,25.2,2.1,511.0
Sauce Pizza Star 350 G,Pizza,11.2,1.5,0.1,3.0,52.0
Ristorante Pizza Vegetale,Pizza,22.0,6.7,7.9,2.0,192.7
Pâte À Pizza,Pizza,47.0,7.3,1.3,1.8,249.0
Pizza,Pizza,23.0,10.0,12.0,1.6,243.7
Dolce Pizza Prosciutto,Pizza,27.0,12.0,5.0,2.1,205.0
Tomapizza,Pizza,6.5,1.5,1.4,1.2,47.0
Dolce Pizza Regina,Pizza,25.0,10.0,3.7,2.9,179.0
Ristorante Pizza Tonno,Pizza,23.38,10.0,10.42,1.75,232.4
Mozzarella Especial Pizza,Pizza,2.7,23.3,15.4,0.0,309.0
Sodebo Dolce Pizza - 4 Formaggi,Pizza,28.0,11.0,7.9,2.9,233.0
Pizza 4 Saisons,Pizza,24.0,6.7,7.2,2.7,191.0
Pizzasauce Aromatica,Pizza,5.4,1.6,0.5,0.0,36.0
Margherita,Pizza,30.0,10.4,6.7,2.3,232.3
Ma Levure Boulangère,Pizza,14.9,46.0,7.4,24.8,360.0
Pizza Quattro Formaggi,Pizza,24.12,10.59,12.65,1.59,257.0
"Pizza N°3 - Légumes, Pesto, Parmesano Reggiano",Pizza,30.0,6.1,5.2,1.7,195.0
Pizza Del Gusto Mozzarella Tomates,Pizza,30.0,8.3,6.6,2.7,218.0
Pinsa 230G,Pizza,45.0,9.0,5.4,3.1,271.0
Bruschette Chips Pizza Flavour,Pizza,71.0,9.1,14.0,2.3,453.0
Sauce Tomate Au Basilic,Pizza,6.4,1.5,3.2,2.4,65.0
"Pizza N°6 - Jambon, Speck, Roquette, Mozzarella",Pizza,24.0,12.0,7.2,2.3,212.0
Pâte À Pizza Fine Et Ronde,Pizza,46.0,7.2,6.7,1.6,292.0
Pizza Base With Tomato Sauce,Pizza,41.0,7.0,3.4,2.4,227.0
Pizza Del Gusto Chorizo,Pizza,32.0,9.7,7.1,2.1,237.9
Chips Pizza 125G Bret'S,Pizza,53.0,6.0,31.0,5.0,525.0
Pizza Sauce,Pizza,7.8,1.9,0.0,2.0,45.0
Ristorante Pizza Royale,Pizza,23.0,11.0,9.4,2.2,223.0
"Pizza Margherita Tomate, Mozzarella",Pizza,29.0,9.6,7.6,2.6,227.0
"Sauce Tomate Pour Pizza, Pâte Ou Riz",Pizza,8.6,1.3,2.9,1.7,69.0
Quiche Lorraine Pur Beurre,Pizza,18.0,8.1,15.0,0.6,241.0
Sauce Pizza,Pizza,9.97,1.76,0.3,2.0,49.0
Mini Pizza Complete,Pizza,52.3,8.4,4.9,6.7,287.0
Pizza Crust Cheesy 4 Fromages,Pizza,25.0,11.0,7.4,2.5,216.0
Tartes Courgette Tomate Fêta,Pizza,18.0,5.3,13.0,2.9,216.0
Dolce Pizza Campanella,Pizza,28.0,14.0,6.1,2.7,228.0
Pizza Fiorentina,Pizza,29.0,8.8,8.4,1.8,232.4
Pizza Delamama La Royale Pouleto,Pizza,29.0,10.0,11.0,2.1,259.0
Schar Maestro Cereale,Pizza,38.0,4.5,6.6,9.9,249.0
Pate A Pizza Bio 260G,Pizza,46.0,8.0,6.0,2.3,274.6
Pizza Tomates Mozzarella,Pizza,28.0,11.0,9.1,2.3,243.0
Sodebo Pizza Crust - Classic,Pizza,26.0,11.0,7.2,2.8,217.0
"Pizza N°18 - Thon, Tomate, Olive",Pizza,26.0,10.0,6.6,2.8,207.0
Per Pizza Gratugiato,Pizza,22.0,0.0,24.0,0.0,306.7
"Pizza N°14 - Tomate, Poulet Mariné, Artichaut",Pizza,26.0,9.3,5.5,2.6,196.0
Pizza Six Fromagio,Pizza,29.0,11.0,11.0,2.0,263.0
Pizza 3 Fromages,Pizza,26.0,12.0,12.0,2.5,266.0
Pizza Base - Fonds De Pizza (,Pizza,60.0,3.0,3.5,4.7,291.0
Ristorante Mozzarella (Dr. Oetker),Pizza,23.0,10.0,11.0,2.0,240.0
Pizza Regina,Pizza,27.0,9.0,4.8,2.9,193.0
Margherita Pizzetta,Pizza,29.31,10.5,8.39,2.2,239.0
Kit Pizza,Pizza,30.0,6.8,3.6,1.5,192.0
Pizza Jambon Supérieur Champignons Mozzarella,Pizza,27.0,11.0,8.5,2.1,233.0
Cmo Royale 400G Jambon - Mozzarella - Emmental Présente En X3,Pizza,32.0,11.0,6.2,2.1,232.0
Tielles Sétoises,Pizza,34.0,7.5,14.0,0.0,297.0
Pizza Del Gusto Chèvre Miel,Pizza,31.0,9.9,10.0,2.0,258.0
Anitines Panes Especiales Pizza,Pizza,50.0,13.0,26.0,4.7,493.0
Boule À Pizza,Pizza,47.0,7.2,0.5,1.4,225.0
Regina Sourdough Pizza Ham Mushroom & Mozzarella,Pizza,29.0,10.0,7.7,1.8,229.2
Flammekueche,Pizza,28.0,7.2,11.0,1.3,242.0
Pizza Crust Buffalo,Pizza,24.0,10.0,7.3,4.1,210.0
Tarte Poireaux,Pizza,20.8,5.2,12.2,1.6,217.0
"Higgidy Spinach,Feta & Roasted Pepper Quiche 400G",Pizza,21.0,7.3,13.0,2.2,230.0
Ristorante Pizza Spinaci,Pizza,21.0,7.1,11.0,1.9,221.0
Pate A Pizza 260G,Pizza,48.0,6.5,6.9,1.6,287.0
Mini Pizza Nature,Pizza,54.0,9.8,7.2,0.0,321.0
Margherita Pizza,Pizza,30.0,10.4,7.3,2.3,231.7
Tarte Saumon Poireaux,Pizza,21.0,7.8,10.0,1.2,208.0
Pain Pizza,Pizza,52.3,8.4,4.9,6.7,287.0
2 Tartes Aux Poireaux,Pizza,19.0,7.2,12.0,1.5,216.0
2 Flammekueches D'Alsace,Pizza,25.0,9.5,15.0,2.4,278.0
Pate À Pizza Xxl Fine&Rectangulaire,Pizza,47.0,6.9,6.1,2.4,290.0
Pate A Pizza Xxl Pizzeria,Pizza,45.0,6.9,2.3,1.1,244.0
