Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories,Total_Macros_g,Carbs_Protein_Ratio,Calorie_Density_Label
Apple,Fruit,13.8,0.3,0.2,2.4,52.0,14.3,45.998466717776076,Low
Banana,Fruit,22.8,1.1,0.3,2.6,89.0,24.200000000000003,20.727084299233642,Low
Orange,Fruit,11.8,0.9,0.1,2.4,47.0,12.8,13.110965433717404,Low
Broccoli,Vegetable,6.6,2.8,0.4,2.6,34.0,9.799999999999999,2.3571344388055757,Low
Spinach,Vegetable,3.6,2.9,0.4,2.2,23.0,6.9,1.241375029741277,Low
Salmon,Fish,0.0,20.0,13.0,0.0,208.0,33.0,0.0,Medium
Brown Rice,Grain,23.0,2.6,0.9,1.8,111.0,26.5,8.846119822616066,Medium
White Bread,Grain,49.0,9.0,3.2,2.7,265.0,61.2,5.44443839506845,Medium
Whole Milk,Dairy,4.8,3.2,3.3,0.0,61.0,11.3,1.4999953125146481,Low
Egg (Large),Dairy,0.6,12.6,9.5,0.0,143.0,22.7,0.04761900982618268,Medium
Potato Chips,Snack,53.0,7.0,35.0,4.0,536.0,95.0,7.571417755117493,High
Oatmeal,Grain,12.0,3.0,1.5,1.7,68.0,16.5,3.999986666711111,Low
Greek Yogurt,Dairy,3.6,10.0,0.4,0.0,59.0,14.0,0.35999964000036,Low
Avocado,Fruit,8.5,2.0,14.7,6.7,160.0,25.2,4.24997875010625,Medium
Pizza Margherita,Fast Food,30.0,11.0,10.0,2.2,250.0,51.0,2.727270247936138,Medium
Beef Burger,Fast Food,24.0,14.0,12.0,1.5,260.0,50.0,1.714284489796793,Medium
French Fries,Fast Food,41.0,3.4,15.0,3.8,312.0,59.4,12.058788062388052,High
Chocolate Bar,Snack,59.0,4.9,30.0,3.4,535.0,93.9,12.040791753486218,High
Coca Cola,Beverage,10.6,0.0,0.0,0.0,42.0,10.6,1059999.9999999998,Low
Orange Juice,Beverage,10.4,0.7,0.2,0.2,45.0,11.299999999999999,14.856930615276926,Low
Tofu,Vegetable,1.9,8.0,4.8,0.3,76.0,14.7,0.23749970312537108,Low
White Rice,Grain,28.0,2.7,0.3,0.4,130.0,31.0,10.370331961733473,Medium
Spaghetti,Grain,31.0,6.0,0.6,1.8,158.0,37.6,5.166658055569908,Medium
Tomato,Vegetable,3.9,0.9,0.2,1.2,18.0,5.0,4.333285185720158,Low
Herta Pâte À Pizza Fine Et Rectangulaire 390G,Pizza,49.0,8.7,5.3,1.0,287.5,63.0,5.632177434278812,Medium
